"AST" "CK" "Calving" "Myopathy" "Survival"
"369" 1 1 1 0 0
"370" 1 1 1 0 1
"372" 0 0 1 1 0
"377" 0 1 0 1 0
"378" 0 0 0 1 0
"381" 0 0 0 1 0
"384" 1 0 1 0 0
"385" 1 1 1 0 0
"387" 1 1 1 1 0
"388" 1 1 1 0 0
"389" 0 0 0 1 0
"391" 1 1 0 0 0
"394" 1 0 1 1 0
"395" 1 0 1 0 0
"396" 1 1 1 0 0
"398" 0 0 1 1 0
"399" 1 1 0 0 1
"400" 1 0 1 0 1
"402" 1 0 0 1 0
"406" 1 1 1 0 0
"408" 0 0 1 1 0
"410" 0 0 1 1 0
"411" 1 0 1 1 0
"412" 0 0 1 1 0
"413" 0 0 1 1 1
"416" 0 1 1 0 0
"419" 0 0 1 1 0
"420" 0 1 1 0 1
"423" 0 0 1 1 0
"424" 1 1 1 0 1
"425" 0 0 1 1 0
"427" 0 0 1 1 0
"428" 1 1 0 0 0
"430" 1 1 1 0 0
"431" 0 1 1 1 0
"432" 0 1 1 1 1
"433" 1 0 1 0 0
"434" 0 0 1 1 0
"435" 1 0 1 1 0
